bioproject,status,title,submitter,doi,citation,reviewed_by,reviewed_on,notes
PRJNA801057,unreviewed,Whole genome sequencing data from Iraq and Pakistan goats,"Northwest A&F University, Yangling, Shaanxi 712100, China",,,,,no Europe PMC full-text match
PRJNA802268,unreviewed,High-Depth Resequencing of 150 Yunnan sheep,Yunnan Agricultural University,10.3390/ani14030444,Sun X et al. (2024) Whole-Genome Resequencing Reveals Genetic Diversity and Wool Trait-Related Genes in Liangshan Semi-Fine-Wool Sheep,,,2 candidates; top one shown
PRJNA809035,unreviewed,Northern bottlenose whale resequencing,Dalhousie University,10.1111/mec.16643,"de Greef E et al. (2022) Genomics reveal population structure, evolutionary history, and signatures of selection in the northern bottlenose whale, Hyperoodon ampullatus",,,
PRJNA809835,unreviewed,Betta genus sequencing,Nanchang University,10.1126/sciadv.abm4955,Zhang W et al. (2022) The genetic architecture of phenotypic diversity in the Betta fish (<i>Betta splendens</i>),,,
PRJNA817006,unreviewed,Whole Genome Sequencing of goose,China Agricultural University,10.1186/s40104-022-00826-9,"Wen J et al. (2023) Origins, timing and introgression of domestic geese revealed by whole genome data",,,
PRJNA827983,unreviewed,Ovis aries Raw sequence reads,Inner Mongolia Agricultural University,,,,,no Europe PMC full-text match
PRJNA830721,unreviewed,Sturnus tristis_CM2_WGS_Mt,SALIM ALI CENTRE FOR ORNITHOLOGY AND NATURAL HISTORY,,,,,no Europe PMC full-text match
PRJNA835294,unreviewed,Raw illumina sequence reads for hybrids of Marco Polo sheep and Tibetan sheep,China Agricultural University,10.3390/ani14030444,Sun X et al. (2024) Whole-Genome Resequencing Reveals Genetic Diversity and Wool Trait-Related Genes in Liangshan Semi-Fine-Wool Sheep,,,3 candidates; top one shown
PRJNA842867,unreviewed,Nucleotide resolution genetic mapping in pigs by publicly accessible whole genome imputation,South China Agricultural University,10.1038/s42003-026-09557-3,Chen D et al. (2026) The Neijiang pig T2T genome reveals domestication history and germplasm traits of Southwest Chinese local breeds,,,3 candidates; top one shown
PRJNA856472,unreviewed,Micropterus salmoides Raw sequence reads,BGI,,,,,no Europe PMC full-text match
PRJNA858961,unreviewed,Whole-genome resequencing of  Largemouth bass,Pearl River Fisheries Research Institute,10.3389/fgene.2022.936610,Du J et al. (2022) Genetic diversity analysis and development of molecular markers for the identification of largemouth bass (<i>Micropterus salmoides</i> L.) based on whole-genome re-sequencing,,,
PRJNA893818,unreviewed,Disturbance-mediated hybridization leads to extensive local introgression in common backyard birds,"University of Colorado, Boulder",,,,,no Europe PMC full-text match
PRJNA902934,unreviewed,genome sequencing of zig-zag eel,guangzhou university,,,,,no Europe PMC full-text match
PRJNA902967,unreviewed,Shot gun sequencing of genomes of Iberian freshwater fish species,Faculty of Sciences from the University of Lisbon,10.1111/1755-0998.14105,Curto M et al. (2025) Improving Whole Biodiversity Monitoring and Discovery With Environmental DNA Metagenomics,,,
PRJNA909969,unreviewed,Bat Genomes,Natural History Museum Berlin,,,,,no Europe PMC full-text match
PRJNA913262,unreviewed,Introgression analysis of the nine-spined stickleback,ioz,,,,,no Europe PMC full-text match
PRJNA914225,unreviewed,Neofelis,Shaanxi Normal University,10.1126/sciadv.adh9143,Yuan J et al. (2023) How genomic insights into the evolutionary history of clouded leopards inform their conservation,,,
PRJNA914998,unreviewed,A comparison of genomic diversity and demographic history of right whales,Saint Marys University,10.1111/eva.70055,Orton RW et al. (2024) Genomic Evidence for the Purging of Deleterious Genetic Variation in the Endangered North Atlantic Right Whale,,,2 candidates; top one shown
PRJNA917637,unreviewed,Population genomics of Dryobates woodpeckers,American Museum of Natural History,10.1126/sciadv.add0560,Moreira LR et al. (2023) Convergent genomic signatures of local adaptation across a continental-scale environmental gradient,,,
PRJNA928557,unreviewed,Acridotheres tristis isolate:AcTrisAU Genome sequencing and assembly,University of Auckland,10.1093/dnares/dsae005,"Stuart KC et al. (2024) The genome of a globally invasive passerine, the common myna, Acridotheres tristis",,,
PRJNA935671,unreviewed,Intra-locus sexual conflict in the three-spined stickleback genome,Laval University,,,,,no Europe PMC full-text match
PRJNA935977,unreviewed,Contrasting patterns of single nucleotide polymorphisms and structural variations across multiple invasions,University of Auckland,10.1093/molbev/msad046,Stuart KC et al. (2023) Contrasting Patterns of Single Nucleotide Polymorphisms and Structural Variation Across Multiple Invasions,,,
PRJNA936574,unreviewed,Scatophagus argus,Iridian Genomes,,,,,no Europe PMC full-text match
PRJNA938765,unreviewed,Concurrent starling invasions suggest selection on shared genomic regions even after  genetic bottlenecks,University of Auckland,10.1093/molbev/msad046,Stuart KC et al. (2023) Contrasting Patterns of Single Nucleotide Polymorphisms and Structural Variation Across Multiple Invasions,,,
PRJNA941958,unreviewed,Capra hircus Raw sequence reads,China Agricultural University,10.3389/fgene.2023.1118367,Wu H et al. (2023) Genome-wide analysis for the melatonin trait associated genes and SNPs in dairy goat (<i>Capra hircus</i>) as the molecular breeding markers,,,2 candidates; top one shown
PRJNA955240,unreviewed,Ocean-wide conservation genomics of blue whales suggest new Northern Hemisphere subspecies.,"Senckenberg BiK-F, LOEWE-TBG",10.1111/mec.17619,Wolf M et al. (2025) Ocean-Wide Conservation Genomics of Blue Whales Suggest New Northern Hemisphere Subspecies,,,
PRJNA956953,unreviewed,Tammar Wallaby (M. eugenii) T2T Genome,University of Connecticut,10.1073/pnas.2412185121,Milton AM et al. (2024) Imprinted X chromosome inactivation in marsupials: The paternal X arrives at the egg with a silent DNA methylation profile,,,
PRJNA957442,unreviewed,The genomic basis and environmental correlates of local adaptation in the Atlantic horse mackerel (Trachurus trachurus),Uppsala University,10.1111/eva.13559,Fuentes-Pardo AP et al. (2023) The genomic basis and environmental correlates of local adaptation in the Atlantic horse mackerel (<i>Trachurus trachurus</i>),,,
PRJNA967190,unreviewed,Intersex-single case study: male zebra finch with an ovary in place of testicles developed a typical song system.,"Max Planck Institute for Biological Intelligence, Seewiesen",,,,,no Europe PMC full-text match
PRJNA979930,unreviewed,Peregrine Falcon subspecies whole genome raw sequence reads,University of North Texas,10.1002/ece3.10347,Johnson JA et al. (2023) Whole-genome survey reveals extensive variation in genetic diversity and inbreeding levels among peregrine falcon subspecies,,,
PRJNA979932,unreviewed,Mapping seasonal migration in a songbird hybrid zone.,Texas A&M University,10.1093/jeb/voaf148,Blain SA et al. (2026) An experimental test for ecologically dependent reproductive isolation across an avian migratory divide,,,7 candidates; top one shown
PRJNA982083,unreviewed,Whole genome sequencing reveals fine-scale environment associated divergence near the range limits of a temperate reef fish.,Fisheries and Oceans Canada,,,,,no Europe PMC full-text match
PRJNA983248,unreviewed,Whole genome sequencing for Mack Super Snow leopard gecko mapping,Center for Applied Medical Research,10.1073/pnas.2400486121,Ullate-Agote A et al. (2024) The dynamic behavior of chromatophores marks the transition from bands to spots in leopard geckos,,,
PRJNA987636,unreviewed,A role for vocal rhythm in speciation,University of Cyprus,10.1093/sysbio/syaf033,Rancilhac L et al. (2025) Introgression across Narrow Contact Zones Shapes the Genomic Landscape of Phylogenetic Variation in an African Bird Clade,,,2 candidates; top one shown
PRJNA993631,unreviewed,Rhinolophus affinis isolate:bianfu-2019 Genome sequencing,Shaanxi Normal University,10.24272/j.issn.2095-8137.2024.027,Zhao L et al. (2024) Chromosome-level genome and population genomics of the intermediate horseshoe bat ( <i>Rhinolophus affinis)</i> reveal the molecular basis of virus tolerance in <i>Rhinolophus</i> and echolocation call frequency variation,,,
